,-50mse
0,258.33167
1,257.6242
2,259.26166
3,260.26376
4,261.56656
5,261.9761
6,262.4424
7,262.27847
8,264.09213
9,263.57416
10,264.03067
11,264.50955
12,266.22128
13,265.99756
14,266.85846
15,268.79852
16,268.16983
17,268.04877
18,268.09967
19,268.50714
20,268.7473
21,268.50497
22,268.86676
23,269.20425
24,268.8019
25,269.2295
26,268.80914
27,268.58575
28,268.58252
29,267.6067
30,266.9951
31,266.4256
32,265.99902
33,265.04736
34,262.9455
35,263.18597
36,261.7687
37,260.2448
38,259.5518
39,259.46106
40,259.9266
41,262.38977
42,262.14185
43,270.29144
44,268.5692
45,275.4359
46,267.09143
47,268.21893
