,0mse
0,257.80127
1,258.2017
2,258.4543
3,258.56168
4,258.71747
5,259.10788
6,258.38495
7,260.10864
8,261.07037
9,260.69464
10,261.14645
11,260.96826
12,263.37845
13,263.50568
14,264.0979
15,264.87775
16,264.73486
17,265.07202
18,265.0238
19,264.83923
20,265.1998
21,265.2707
22,265.03726
23,265.0946
24,264.21118
25,263.6865
26,262.93066
27,261.86795
28,260.67706
29,259.02692
30,257.9663
31,256.8132
32,255.71762
33,252.52466
34,248.86047
35,244.68042
36,240.21907
37,237.99472
38,236.37386
39,238.0481
40,239.2189
41,242.0645
42,245.70473
43,252.34135
44,259.21353
45,268.93784
46,260.40106
47,264.92892
